responseId,startTime,endTime,testType,activityPoints,dfs01,dfs02,dfs03,dfs04,dfs05,dfs06,dfs07,dfs08,dfs09,dfsPreMean,motivationPos01,motivationPos02,motivationPos03*,motivationPos04,motivationPos05,motivationPos06,motivationPos07*,motivationPos08,motivationPos09,motivationPos10,motivationPos11,motivationPos12*,motivationPos13,motivationPos14,motivationPos15*,motivationPos16,motivationPos17,motivationPos18,motivationPos19*,motivationPos20,motivationPos21,motivationPos22*,motivationPos23,motivationPos24,motivationPos25,motivationPos26*,motivationPos27,motivationPos28,motivationPos29*,motivationPos30,motivationPos31*,motivationPos32,motivationPos33,motivationPos34*,motivationPos35,motivationPos36,attention,relevance,confidence,satisfaction,motivationPostSum,fss01,fss02,fss03,fss04,fss05,fss06,fss07,fss08,fss09,flowPosMean,gender,condition,age,ethnicity,city,civilState,universityEducation,institucion,educationLevel,conclusion
22d1ce90-9c64-11eb-8bc5-d17adb29b9cd,1618323102697,1618323826137,stFemale,17,5,3,5,5,2,2,5,3,4,"3,777777778",4,3,5,4,4,5,5,5,5,3,3,4,4,3,5,5,5,3,3,3,4,5,3,3,4,2,3,3,3,4,4,4,4,5,5,5,73,34,39,23,142,5,5,5,4,3,5,4,5,5,"4,555555556",Homem,inThreat,20,Branco,,Solteiro(a),Sim,UFAL,Graduação,2024
1b68b1b0-9c68-11eb-8bc5-d17adb29b9cd,1618324122276,1618325516447,stFemale,16,4,4,4,4,4,3,2,5,2,"3,555555556",5,5,2,4,4,4,3,3,4,3,3,5,5,4,5,4,3,3,4,4,3,3,3,3,5,3,3,3,4,2,4,3,2,4,3,4,65,28,35,21,129,5,2,5,5,4,5,4,3,5,"4,222222222",Mulher,inBoost,21,Pardo,Maceió,Solteiro(a),Sim,UFAL,Graduação,2023
e3f684f0-9c76-11eb-8bc5-d17adb29b9cd,1618331032720,1618331859959,stMale,19,3,2,2,4,3,2,2,5,3,"2,888888889",3,4,5,3,4,4,4,5,3,4,3,5,2,4,4,2,3,3,5,5,3,4,2,2,4,4,3,3,4,1,5,4,2,4,2,3,74,25,32,21,125,4,2,4,1,3,2,3,4,4,3,Homem,inBoost,20,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,
3fc49290-9c86-11eb-8bc5-d17adb29b9cd,1618337014216,1618338418546,default,19,5,2,4,3,4,4,2,5,3,"3,555555556",3,4,5,4,5,4,4,4,2,3,4,4,2,4,5,3,4,2,5,5,4,4,5,2,4,4,4,5,5,3,4,5,4,4,4,5,77,30,35,27,142,5,2,5,4,4,4,3,5,4,4,Homem,control,26,Branco,Maceió,Solteiro(a),Sim,UFAL,Mestrado,2021
614e46d0-9c87-11eb-8bc5-d17adb29b9cd,1618337806276,1618338783328,stMale,18,4,4,4,4,4,4,2,4,4,"3,777777778",4,4,5,4,4,4,5,4,4,3,4,5,4,3,2,4,4,4,5,4,4,3,4,2,3,3,,4,4,2,5,4,3,5,3,3,59,31,38,18,132,4,3,4,3,4,4,4,4,4,"3,777777778",Homem,inBoost,20,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2024
9ed7cf30-9c8c-11eb-8bc5-d17adb29b9cd,1618340536552,1618341262560,stMale,17,,,,,4,3,4,3,4,"3,6",5,5,2,4,4,5,5,5,2,2,2,5,4,3,3,2,3,2,5,2,2,3,4,2,2,4,4,4,3,1,5,4,2,3,4,3,75,24,34,20,120,5,5,3,4,3,3,3,3,3,"3,555555556",Homem,inBoost,21,Pardo,Belo Horizonte,Solteiro(a),Sim,UFMG - Universidade Federal de Minas Gerais,Graduação,2022.2
c2970110-9c8d-11eb-8bc5-d17adb29b9cd,1618340889093,1618341672506,stFemale,16,4,5,4,4,3,4,3,4,4,"3,888888889",5,5,3,5,4,5,4,4,4,4,2,5,5,4,5,4,4,3,5,4,4,5,4,2,4,3,3,4,3,2,5,5,3,5,3,4,83,32,39,24,143,5,5,4,4,4,5,5,5,5,"4,666666667",Mulher,inBoost,21,Branco,maceió,Solteiro(a),Sim,UNIT,Graduação,2022
bb8998c0-9c91-11eb-8bc5-d17adb29b9cd,1618342496592,1618343326546,stMale,15,4,2,3,2,3,2,2,5,5,"3,111111111",4,4,3,5,5,5,5,5,3,4,2,4,5,3,5,3,3,3,2,5,4,4,3,2,4,4,2,3,2,3,5,4,3,5,3,5,78,31,36,23,134,3,1,5,2,5,5,4,5,4,"3,777777778",Homem,inBoost,20,Branco,Maceió,Solteiro(a),Sim,UPORTO,Outros,
1f3271d0-9c92-11eb-8bc5-d17adb29b9cd,1618342783074,1618343524506,default,15,4,3,4,3,3,2,3,5,5,"3,555555556",5,5,1,5,4,2,4,4,2,4,2,3,4,4,4,4,2,1,5,2,2,1,1,1,5,2,5,2,1,2,1,4,1,2,2,3,63,19,33,22,102,1,2,3,4,5,4,3,3,1,"2,888888889",Mulher,control,18,Pardo,Maceió,Solteiro(a),Sim,UFAL,Graduação,2025
f713a470-9c92-11eb-8bc5-d17adb29b9cd,1618343456477,1618343932662,stFemale,15,5,3,5,5,3,4,5,3,5,"4,222222222",5,5,3,5,5,3,4,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,3,5,2,5,5,5,5,5,5,5,5,5,78,38,40,27,165,5,5,5,5,2,5,5,5,3,"4,444444444",Homem,inThreat,23,Prefiro não Responder,Maceió,Solteiro(a),Sim,UFAL,Graduação,2022
